N,P,K,temperature,humidity,ph,rainfall,label,yield
104.17,11.05,60.85,25.93,90.75,6.52,66.78,watermelon,35226.3
26.05,132.65,194.48,23.18,78.94,6.24,59.3,grapes,24584.91
25.64,21.5,7.04,19.78,88.99,6.72,116.47,orange,10829.81
21.95,14.84,11.78,27.05,90.92,7.24,95.09,orange,12213.25
103.11,19.41,52.21,27.64,86.13,6.22,32.1,muskmelon,17462.25
114.34,83.53,53.31,24.0,85.97,6.39,65.03,banana,37497.67
93.16,12.52,55.29,26.61,95.59,6.76,27.78,muskmelon,17511.77
20.08,63.13,23.23,28.04,36.4,6.03,148.52,pigeonpeas,2446.88
17.84,54.22,26.14,27.33,44.03,6.63,45.0,mothbeans,1094.49
40.29,66.03,10.45,30.94,74.86,7.14,77.14,blackgram,1199.86
14.49,45.86,24.82,30.6,89.8,6.16,59.83,mungbean,1007.62
49.97,58.88,47.4,36.26,92.89,6.73,149.77,papaya,48802.34
20.36,72.57,15.06,27.23,60.18,6.96,45.9,lentil,1505.09
103.4,41.46,43.37,22.0,73.0,6.92,72.0,cotton,3500.16
50.86,68.48,40.42,32.93,91.05,6.98,149.1,papaya,36251.46
20.22,66.56,20.75,24.32,65.97,6.89,51.11,lentil,1438.01
121.5,14.99,55.42,26.56,89.39,6.28,24.74,muskmelon,17098.02
69.37,54.42,47.61,19.46,65.97,6.65,63.72,wheat,4494.08
19.22,17.16,11.64,24.01,97.06,6.9,82.72,orange,13380.31
112.94,6.86,47.35,25.19,80.46,6.37,47.82,watermelon,27302.52
85.48,40.28,37.91,26.92,85.15,6.56,164.78,jute,3155.67
18.07,17.41,9.41,18.02,94.81,7.33,146.76,orange,12944.64
26.3,143.61,172.08,20.47,92.73,5.9,84.19,apple,14809.46
20.51,16.4,6.61,22.72,95.47,7.34,123.37,orange,11167.92
79.99,50.18,22.02,24.47,59.64,6.34,108.85,maize,5660.05
99.89,42.79,44.28,26.29,63.98,6.7,78.36,cotton,2824.16
18.15,42.1,20.17,25.62,57.63,6.77,49.22,mothbeans,1435.36
23.03,145.73,200.26,23.59,94.15,5.96,107.56,apple,14581.2
24.97,71.23,8.14,24.08,22.89,5.47,108.14,kidneybeans,2375.89
79.4,31.79,34.88,22.49,75.76,6.82,157.1,rice,4873.85
10.81,64.61,17.6,20.25,59.21,6.31,45.62,lentil,1624.44
24.04,65.08,16.25,27.56,42.12,6.35,137.67,pigeonpeas,2399.86
134.42,45.22,36.54,21.95,69.96,6.68,100.8,cotton,2413.62
37.48,67.14,23.57,32.56,67.85,7.03,90.47,blackgram,1097.31
116.79,44.21,47.68,26.39,65.36,6.49,85.18,cotton,2763.0
21.97,54.55,19.63,27.63,87.96,6.73,45.1,mungbean,1556.0
138.48,38.23,46.12,20.78,63.41,6.49,96.05,cotton,2199.91
85.22,46.85,27.27,19.32,68.46,5.7,119.39,maize,8439.96
85.83,46.74,17.01,24.84,73.69,6.49,86.71,maize,6299.0
39.63,65.74,81.95,15.73,14.61,7.69,82.44,chickpea,1539.04
16.05,18.02,6.96,24.57,91.53,6.54,100.39,orange,12693.78
106.13,78.63,56.36,28.18,76.47,6.01,87.12,banana,41821.06
17.25,42.24,20.55,28.77,79.12,6.98,31.3,mungbean,1275.68
77.83,40.67,47.59,19.63,57.57,6.82,59.64,wheat,5886.19
22.0,53.47,22.4,26.28,63.89,6.86,49.53,mothbeans,1473.48
86.68,56.59,42.97,23.42,56.59,6.44,43.17,wheat,4452.86
22.48,73.35,14.0,15.37,24.57,5.45,64.63,kidneybeans,2426.86
58.44,60.83,52.6,35.8,90.12,6.25,146.0,papaya,29288.08
82.93,8.83,65.2,23.06,90.74,6.32,55.09,watermelon,27182.55
90.73,57.0,52.62,20.18,46.77,6.85,80.9,wheat,5500.74
17.74,45.25,18.42,28.54,88.58,6.68,49.16,mungbean,1493.45
91.16,54.48,42.05,22.92,78.36,6.69,181.76,jute,3434.46
20.09,26.94,26.43,29.91,52.14,5.28,106.86,mango,9936.89
17.88,51.73,20.16,29.38,58.44,7.01,53.73,mothbeans,1088.79
86.78,50.2,46.44,26.68,81.19,6.57,165.31,jute,3086.54
34.02,72.47,88.93,23.49,16.77,7.71,107.22,chickpea,1390.07
21.62,16.98,27.19,26.62,95.99,5.8,201.18,coconut,6015.97
106.74,15.22,50.96,30.92,91.38,6.54,23.79,muskmelon,12187.6
15.87,18.39,34.68,21.84,92.54,6.66,71.63,pomegranate,12810.59
11.18,50.3,25.24,27.84,93.72,6.96,54.68,mungbean,1560.78
25.19,127.36,165.12,23.53,87.14,5.88,69.42,grapes,21574.34
58.92,61.01,53.13,35.33,89.11,6.65,190.51,papaya,32969.88
45.89,74.56,24.32,30.61,63.84,6.64,97.15,blackgram,974.53
18.12,117.36,208.36,25.49,89.01,6.17,114.87,apple,11180.08
17.99,21.01,11.47,20.18,92.09,7.74,85.15,orange,13136.85
14.28,72.1,19.68,20.15,22.22,5.65,128.83,kidneybeans,2515.49
22.1,120.75,197.38,20.55,93.07,5.9,123.62,apple,14840.84
73.87,46.06,41.43,23.67,85.29,7.01,194.69,rice,5242.4
95.42,11.58,51.26,23.19,91.53,5.99,57.84,watermelon,24642.83
15.03,62.92,13.06,16.8,18.35,5.75,87.14,kidneybeans,2578.12
103.1,10.44,58.34,21.94,92.79,6.52,54.89,watermelon,33278.79
47.92,53.79,52.92,32.71,87.75,7.37,134.95,papaya,34341.18
110.68,45.97,41.15,31.68,64.19,6.6,94.16,cotton,3193.62
21.44,19.03,33.51,15.96,90.45,6.44,87.46,pomegranate,8288.23
24.51,49.2,16.67,28.74,85.62,6.98,56.77,mungbean,1456.05
16.72,11.58,8.31,21.55,90.0,7.39,113.59,orange,15165.21
22.45,14.92,47.95,21.57,89.98,6.38,79.31,pomegranate,11949.38
23.69,19.14,31.1,28.65,93.25,5.75,201.93,coconut,8358.81
22.61,146.06,189.3,23.48,70.32,6.52,52.94,grapes,21660.71
22.79,133.49,209.42,21.42,90.0,5.62,154.9,apple,14466.68
101.97,48.41,43.62,24.06,82.71,6.59,177.9,jute,3433.93
